pa, pp, ta, tp
the aunt broke the pot .,the pot was broken by the aunt .,a reader embraces an attorney .,an attorney is embraced by a reader .
a nurse kisses a sheriff .,a sheriff is kissed by a nurse .,the cousin raised the book .,the book was raised by the cousin .
the husband carries the instrument .,the instrument is carried by the husband .,a mother caught a professor .,a professor was caught by a mother .
the adult broke the guitar .,the guitar was broken by the adult .,an employer catches a key .,a key is caught by an employer .
the woman kissed the parent .,the parent was kissed by the woman .,a president destroys a king .,a king is destroyed by a president .
the actor judges the army .,the army is judged by the actor .,a cousin broke a machine .,a machine was broken by a cousin .
the actress discovers the bottle .,the bottle is discovered by the actress .,a king ate a meal .,a meal was eaten by a king .
an attorney kissed a cousin .,a cousin was kissed by an attorney .,the scientist asks the manager .,the manager is asked by the scientist .
a bishop removed a plate .,a plate was removed by a bishop .,the soldier grabs the hero .,the hero is grabbed by the soldier .
the child punches the winner .,the winner is punched by the child .,a guest taught a scientist .,a scientist was taught by a guest .
the club helps the employer .,the employer is helped by the club .,a mother collected a tea .,a tea was collected by a mother .
the army purchases the juice .,the juice is purchased by the army .,a leader forgave a corporation .,a corporation was forgiven by a leader .
a child selected a juice .,a juice was selected by a child .,the husband chases the corporation .,the corporation is chased by the husband .
the child prepared the coat .,the coat was prepared by the child .,a student forgives a club .,a club is forgiven by a student .
the buddy surprised the professor .,the professor was surprised by the buddy .,an uncle embraces a kid .,a kid is embraced by an uncle .
the professor collected the motor .,the motor was collected by the professor .,a father wants an anchor .,an anchor is wanted by a father .
a child purchased a candy .,a candy was purchased by a child .,the business wants the tea .,the tea is wanted by the business .
the scientist describes the child .,the child is described by the scientist .,a physician kept a card .,a card was kept by a physician .
the daughter discovered the anchor .,the anchor was discovered by the daughter .,a student drinks a coffee .,a coffee is drunk by a student .
the scientist catches the coat .,the coat is caught by the scientist .,a wife left an engine .,an engine was left by a wife .
a wife understood an uncle .,an uncle was understood by a wife .,the son punches the champion .,the champion is punched by the son .
a captain catches a bishop .,a bishop is caught by a captain .,the hero accepted the bottle .,the bottle was accepted by the hero .
a son collects a coffee .,a coffee is collected by a son .,the captain chased the guy .,the guy was chased by the captain .
the band purchased the tea .,the tea was purchased by the band .,a wife chases a guest .,a guest is chased by a wife .
the employee surprised the worker .,the worker was surprised by the employee .,a child raises a wire .,a wire is raised by a child .
the guy collects the meal .,the meal is collected by the guy .,a colonel joined a band .,a band was joined by a colonel .
a mayor forgave a club .,a club was forgiven by a mayor .,the boy leads the company .,the company is led by the boy .
the uncle tasted the pie .,the pie was tasted by the uncle .,a minister leads a business .,a business is led by a minister .
the worker washed the glass .,the glass was washed by the worker .,a priest follows a corporation .,a corporation is followed by a priest .
a husband discovered a mother .,a mother was discovered by a husband .,the mayor bothers the doctor .,the doctor is bothered by the mayor .
a secretary led a band .,a band was led by a secretary .,the guest smells the tea .,the tea is smelled by the guest .
a physician kissed a secretary .,a secretary was kissed by a physician .,the singer selects the gun .,the gun is selected by the singer .
the lawyer joined the prince .,the prince was joined by the lawyer .,a sheriff drags a gun .,a gun is dragged by a sheriff .
the son embraced the colonel .,the colonel was embraced by the son .,a business uses a pot .,a pot is used by a business .
a winner surprised an employer .,an employer was surprised by a winner .,the lawyer discovers the beer .,the beer is discovered by the lawyer .
the mother wraps the anchor .,the anchor is wrapped by the mother .,a student ate a salad .,a salad was eaten by a student .
an administration uses an anchor .,an anchor is used by an administration .,the bishop joined the chief .,the chief was joined by the bishop .
the student discovered the anchor .,the anchor was discovered by the student .,a president selects a brother .,a brother is selected by a president .
a guy wrapped a knife .,a knife was wrapped by a guy .,the leader purchases the crystal .,the crystal is purchased by the leader .
a professor dragged a champion .,a champion was dragged by a professor .,the minister selects the beer .,the beer is selected by the minister .
the writer keeps the beer .,the beer is kept by the writer .,a cop beat a princess .,a princess was beaten by a cop .
a hero carried a beer .,a beer was carried by a hero .,the kid prepares the candy .,the candy is prepared by the kid .
a chief dragged a mother .,a mother was dragged by a chief .,the prince asks the corporation .,the corporation is asked by the prince .
an aunt left an instrument .,an instrument was left by an aunt .,the adult bothers the corporation .,the corporation is bothered by the adult .
a girl followed a manager .,a manager was followed by a girl .,the mother beats the son .,the son is beaten by the mother .
the band keeps the salad .,the salad is kept by the band .,an author carried a beer .,a beer was carried by an author .
the guy raised the boy .,the boy was raised by the guy .,a reader asks a company .,a company is asked by a reader .
a priest broke a key .,a key was broken by a priest .,the mayor forgets the candy .,the candy is forgotten by the mayor .
the army purchases the tea .,the tea is purchased by the army .,a child used a television .,a television was used by a child .
the secretary kissed the actor .,the actor was kissed by the secretary .,a writer prepares a hat .,a hat is prepared by a writer .
an administration helped a chief .,a chief was helped by an administration .,the boy raises the salad .,the salad is raised by the boy .
an actor protected a captain .,a captain was protected by an actor .,the mother forgets the beer .,the beer is forgotten by the mother .
a writer led an army .,an army was led by a writer .,the champion wraps the bell .,the bell is wrapped by the champion .
a parent destroys a child .,a child is destroyed by a parent .,the princess described the juice .,the juice was described by the princess .
the physician wrapped the television .,the television was wrapped by the physician .,a leader embraces a brother .,a brother is embraced by a leader .
an author bothers an army .,an army is bothered by an author .,the partner helped the guest .,the guest was helped by the partner .
the soldier hurried the man .,the man was hurried by the soldier .,a kid collects a juice .,a juice is collected by a kid .
the prince described the cousin .,the cousin was described by the prince .,a singer drags a gun .,a gun is dragged by a singer .
a father understood a lawyer .,a lawyer was understood by a father .,the hero collects the jacket .,the jacket is collected by the hero .
a writer grabs a machine .,a machine is grabbed by a writer .,the leader led the army .,the army was led by the leader .
the man surprised the brother .,the brother was surprised by the man .,a king punches a student .,a student is punched by a king .
the employee helps the parent .,the parent is helped by the employee .,a priest embraced a candidate .,a candidate was embraced by a priest .
the child dragged the guest .,the guest was dragged by the child .,a candidate forgives a business .,a business is forgiven by a candidate .
the kid bothers the club .,the club is bothered by the kid .,a president left a pot .,a pot was left by a president .
the captain leads the company .,the company is led by the captain .,an employee discovered a beer .,a beer was discovered by an employee .
a student collected a gun .,a gun was collected by a student .,the club helps the uncle .,the uncle is helped by the club .
a priest kissed an employee .,an employee was kissed by a priest .,the woman leads the administration .,the administration is led by the woman .
the candidate discovered the buddy .,the buddy was discovered by the candidate .,a woman drags a cop .,a cop is dragged by a woman .
the leader taught the prince .,the prince was taught by the leader .,a sheriff comforts an actress .,an actress is comforted by a sheriff .
the brother judges the nurse .,the nurse is judged by the brother .,a reader led a company .,a company was led by a reader .
an opponent chased a reader .,a reader was chased by an opponent .,the friend smells the chicken .,the chicken is smelled by the friend .
an administration helps an employee .,an employee is helped by an administration .,the professor beat the woman .,the woman was beaten by the professor .
a champion follows a priest .,a priest is followed by a champion .,the doctor punched the pilot .,the pilot was punched by the doctor .
the pilot raises the box .,the box is raised by the pilot .,a reader embraced a professor .,a professor was embraced by a reader .
the nurse wraps the bell .,the bell is wrapped by the nurse .,a buddy purchased a tea .,a tea was purchased by a buddy .
the cop hurt the administration .,the administration was hurt by the cop .,an author leads a company .,a company is led by an author .
a minister punched a father .,a father was punched by a minister .,the opponent wraps the iron .,the iron is wrapped by the opponent .
the writer kills the singer .,the singer is killed by the writer .,a brother wrapped a bag .,a bag was wrapped by a brother .
a chief dragged a scientist .,a scientist was dragged by a chief .,the soldier drinks the juice .,the juice is drunk by the soldier .
the king bothers the daughter .,the daughter is bothered by the king .,an actor washed a minister .,a minister was washed by an actor .
the wife left the cup .,the cup was left by the wife .,a buddy smells an anchor .,an anchor is smelled by a buddy .
the actress wants the cheese .,the cheese is wanted by the actress .,a mother bothered a club .,a club was bothered by a mother .
the hero protects the secretary .,the secretary is protected by the hero .,a guy ate a chocolate .,a chocolate was eaten by a guy .
the sheriff hurts the professor .,the professor is hurt by the sheriff .,a lawyer followed a president .,a president was followed by a lawyer .
a lawyer follows an actor .,an actor is followed by a lawyer .,the club purchased the candy .,the candy was purchased by the club .
the husband embraced the secretary .,the secretary was embraced by the husband .,a singer removes a coat .,a coat is removed by a singer .
a corporation uses a log .,a log is used by a corporation .,the actress punched the daughter .,the daughter was punched by the actress .
an uncle led an administration .,an administration was led by an uncle .,the child removes the bag .,the bag is removed by the child .
the manager hurt the kid .,the kid was hurt by the manager .,a captain surprises a colonel .,a colonel is surprised by a captain .
the student washes the instrument .,the instrument is washed by the student .,a writer hurried a captain .,a captain was hurried by a writer .
an uncle drags a knife .,a knife is dragged by an uncle .,the prince smelled the chicken .,the chicken was smelled by the prince .
a guest carried a mayor .,a mayor was carried by a guest .,the captain chases the aunt .,the aunt is chased by the captain .
an aunt catches an instrument .,an instrument is caught by an aunt .,the priest bothered the army .,the army was bothered by the priest .
a cousin kisses a lady .,a lady is kissed by a cousin .,the physician comforted the champion .,the champion was comforted by the physician .
an actress grabs a cheese .,a cheese is grabbed by an actress .,the man hurried the adult .,the adult was hurried by the man .
the bishop hurried the adult .,the adult was hurried by the bishop .,an actor describes a president .,a president is described by an actor .
a teacher carried a pilot .,a pilot was carried by a teacher .,the child accepts the instrument .,the instrument is accepted by the child .
a soldier understood a child .,a child was understood by a soldier .,the actress embraces the singer .,the singer is embraced by the actress .
a professor accepted a plate .,a plate was accepted by a professor .,the child catches the chocolate .,the chocolate is caught by the child .
a manager beats an employer .,an employer is beaten by a manager .,the hero caught the flower .,the flower was caught by the hero .
the hero strikes the doctor .,the doctor is struck by the hero .,a singer followed an army .,an army was followed by a singer .
the professor forgives the corporation .,the corporation is forgiven by the professor .,a secretary selected a juice .,a juice was selected by a secretary .
a nurse selected a cheese .,a cheese was selected by a nurse .,the sheriff washes the lawyer .,the lawyer is washed by the sheriff .
the uncle leads the business .,the business is led by the uncle .,a professor raised a physician .,a physician was raised by a professor .
a cop destroyed a juice .,a juice was destroyed by a cop .,the soldier protects the professor .,the professor is protected by the soldier .
the aunt chased the business .,the business was chased by the aunt .,a nurse beats a priest .,a priest is beaten by a nurse .
a mayor grabbed a newspaper .,a newspaper was grabbed by a mayor .,the teacher hurries the princess .,the princess is hurried by the teacher .
a mother asked a corporation .,a corporation was asked by a mother .,the author chases the army .,the army is chased by the author .
a scientist purchased a meal .,a meal was purchased by a scientist .,the soldier comforts the wife .,the wife is comforted by the soldier .
a prince joined a guest .,a guest was joined by a prince .,the secretary uses the book .,the book is used by the secretary .
a pilot punched a nurse .,a nurse was punched by a pilot .,the guest beats the attorney .,the attorney is beaten by the guest .
the buddy led the company .,the company was led by the buddy .,a captain kills a professor .,a professor is killed by a captain .
an actor forgets a tea .,a tea is forgotten by an actor .,the kid accepted the book .,the book was accepted by the kid .
the guy forgave the attorney .,the attorney was forgiven by the guy .,a cop chases a mother .,a mother is chased by a cop .
the guy embraces the winner .,the winner is embraced by the guy .,a president forgave a brother .,a brother was forgiven by a president .
the singer understood the parent .,the parent was understood by the singer .,a secretary drinks a coffee .,a coffee is drunk by a secretary .
the champion follows the army .,the army is followed by the champion .,a prince beat a nurse .,a nurse was beaten by a prince .
a cop wants a juice .,a juice is wanted by a cop .,the parent forgot the secretary .,the secretary was forgotten by the parent .
the chief described the engine .,the engine was described by the chief .,a teacher carries a soldier .,a soldier is carried by a teacher .
a husband forgot a jacket .,a jacket was forgotten by a husband .,the priest kisses the kid .,the kid is kissed by the priest .
the author wrapped the telephone .,the telephone was wrapped by the author .,a parent punches a guest .,a guest is punched by a parent .
the worker taught the buddy .,the buddy was taught by the worker .,a wife collects a flower .,a flower is collected by a wife .
a boy selected a tea .,a tea was selected by a boy .,the minister kills the captain .,the captain is killed by the minister .
the club purchases the machine .,the machine is purchased by the club .,a singer selected a box .,a box was selected by a singer .
an employer forgave an administration .,an administration was forgiven by an employer .,the aunt smells the juice .,the juice is smelled by the aunt .
the colonel ate the candy .,the candy was eaten by the colonel .,a winner washes a newspaper .,a newspaper is washed by a winner .
a club helped a bishop .,a bishop was helped by a club .,the secretary describes the beer .,the beer is described by the secretary .
the mother beats the chief .,the chief is beaten by the mother .,a buddy taught an actor .,an actor was taught by a buddy .
the guest tastes the salad .,the salad is tasted by the guest .,a daughter understood a candidate .,a candidate was understood by a daughter .
the mayor judged the company .,the company was judged by the mayor .,an opponent describes a coffee .,a coffee is described by an opponent .
a leader destroys a beer .,a beer is destroyed by a leader .,the candidate accepted the knife .,the knife was accepted by the candidate .
the captain protects the husband .,the husband is protected by the captain .,a woman beat an uncle .,an uncle was beaten by a woman .
the army wants the knife .,the knife is wanted by the army .,a president grabbed a singer .,a singer was grabbed by a president .
the soldier tasted the cheese .,the cheese was tasted by the soldier .,a prince drags a wire .,a wire is dragged by a prince .
a chief ate a chocolate .,a chocolate was eaten by a chief .,the lady strikes the uncle .,the uncle is struck by the lady .
the actress wraps the gun .,the gun is wrapped by the actress .,a parent beat a husband .,a husband was beaten by a parent .
a husband beat a parent .,a parent was beaten by a husband .,the girl accepts the card .,the card is accepted by the girl .
the club helped the singer .,the singer was helped by the club .,a girl hurries a prince .,a prince is hurried by a girl .
the soldier surprises the colonel .,the colonel is surprised by the soldier .,an employee helped a winner .,a winner was helped by an employee .
a brother forgets a wife .,a wife is forgotten by a brother .,the manager understood the lady .,the lady was understood by the manager .
the girl washes the boy .,the boy is washed by the girl .,a leader broke a machine .,a machine was broken by a leader .
a hero leaves a key .,a key is left by a hero .,the doctor collected the juice .,the juice was collected by the doctor .
the adult purchased the beer .,the beer was purchased by the adult .,a boy understands a leader .,a leader is understood by a boy .
the princess dragged the king .,the king was dragged by the princess .,an army helps an actress .,an actress is helped by an army .
a candidate forgot a coffee .,a coffee was forgotten by a candidate .,the cop bothers the priest .,the priest is bothered by the cop .
the man understands the aunt .,the aunt is understood by the man .,a friend forgot a tea .,a tea was forgotten by a friend .
a band helped a president .,a president was helped by a band .,the secretary describes the plate .,the plate is described by the secretary .
a chief asked a sheriff .,a sheriff was asked by a chief .,the friend prepares the chicken .,the chicken is prepared by the friend .
the corporation purchased the hat .,the hat was purchased by the corporation .,a lawyer strikes an opponent .,an opponent is struck by a lawyer .
the opponent judges the son .,the son is judged by the opponent .,an employer protected a priest .,a priest was protected by an employer .
the singer forgot the worker .,the worker was forgotten by the singer .,a lady selects a jacket .,a jacket is selected by a lady .
a doctor collects a juice .,a juice is collected by a doctor .,the brother led the club .,the club was led by the brother .
the guy catches the chicken .,the chicken is caught by the guy .,an aunt surprised a wife .,a wife was surprised by an aunt .
a guy forgave a king .,a king was forgiven by a guy .,the friend breaks the computer .,the computer is broken by the friend .
a champion surprised a princess .,a princess was surprised by a champion .,the son understands the mother .,the mother is understood by the son .
the physician surprises the husband .,the husband is surprised by the physician .,a king struck a pilot .,a pilot was struck by a king .
the girl collected the tea .,the tea was collected by the girl .,an aunt wants a log .,a log is wanted by an aunt .
a professor washes a secretary .,a secretary is washed by a professor .,the parent joined the mother .,the mother was joined by the parent .
the mayor bothers the company .,the company is bothered by the mayor .,a writer taught a hero .,a hero was taught by a writer .
the administration wanted the tea .,the tea was wanted by the administration .,a kid surprises a president .,a president is surprised by a kid .
the cop kissed the singer .,the singer was kissed by the cop .,a minister wraps a machine .,a machine is wrapped by a minister .
an aunt discovers a chocolate .,a chocolate is discovered by an aunt .,the daughter killed the father .,the father was killed by the daughter .
a woman caught a coffee .,a coffee was caught by a woman .,the captain hurries the nurse .,the nurse is hurried by the captain .
the buddy kissed the kid .,the kid was kissed by the buddy .,a doctor strikes a nurse .,a nurse is struck by a doctor .
the opponent hurried the chief .,the chief was hurried by the opponent .,a sheriff chases an army .,an army is chased by a sheriff .
a cop understood a nurse .,a nurse was understood by a cop .,the writer describes the coffee .,the coffee is described by the writer .
the administration wants the wire .,the wire is wanted by the administration .,a prince killed a cop .,a cop was killed by a prince .
the corporation helped the president .,the president was helped by the corporation .,a priest bothers a hero .,a hero is bothered by a priest .
the president drags the soldier .,the soldier is dragged by the president .,a secretary washed a glass .,a glass was washed by a secretary .
a hero selected a beer .,a beer was selected by a hero .,the nurse strikes the candidate .,the candidate is struck by the nurse .
the reader destroyed the beer .,the beer was destroyed by the reader .,a captain forgets a friend .,a friend is forgotten by a captain .
the teacher drinks the tea .,the tea is drunk by the teacher .,a partner removed a cigarette .,a cigarette was removed by a partner .
the teacher raised the beer .,the beer was raised by the teacher .,a partner punches a leader .,a leader is punched by a partner .
the physician embraces the chief .,the chief is embraced by the physician .,a teacher hurried a wife .,a wife was hurried by a teacher .
the nurse kisses the author .,the author is kissed by the nurse .,a kid raised a machine .,a machine was raised by a kid .
an opponent bothered a princess .,a princess was bothered by an opponent .,the woman punches the leader .,the leader is punched by the woman .
the girl forgave the administration .,the administration was forgiven by the girl .,a cousin selects a cheese .,a cheese is selected by a cousin .
the cousin hurts the pilot .,the pilot is hurt by the cousin .,a winner bothered a business .,a business was bothered by a winner .
an administration protected an actress .,an actress was protected by an administration .,the mayor breaks the cup .,the cup is broken by the mayor .
a child comforts a chief .,a chief is comforted by a child .,the sheriff grabbed the cheese .,the cheese was grabbed by the sheriff .
the cop drinks the juice .,the juice is drunk by the cop .,a chief grabbed a flower .,a flower was grabbed by a chief .
a princess punched a lady .,a lady was punched by a princess .,the president breaks the jacket .,the jacket is broken by the president .
the professor wants the gun .,the gun is wanted by the professor .,a mother caught a tea .,a tea was caught by a mother .
a brother tastes a pie .,a pie is tasted by a brother .,the candidate selected the meal .,the meal was selected by the candidate .
a manager hurried a writer .,a writer was hurried by a manager .,the nurse punches the cousin .,the cousin is punched by the nurse .
a scientist taught a bishop .,a bishop was taught by a scientist .,the minister destroys the coffee .,the coffee is destroyed by the minister .
the child forgives the corporation .,the corporation is forgiven by the child .,a president discovered a champion .,a champion was discovered by a president .
an actress broke a bowl .,a bowl was broken by an actress .,the daughter selects the pie .,the pie is selected by the daughter .
the priest joins the army .,the army is joined by the priest .,a worker followed a singer .,a singer was followed by a worker .
a physician selects a telephone .,a telephone is selected by a physician .,the champion kissed the teacher .,the teacher was kissed by the champion .
the hero led the club .,the club was led by the hero .,a lady strikes a reader .,a reader is struck by a lady .
the doctor carries the crystal .,the crystal is carried by the doctor .,a president purchased a juice .,a juice was purchased by a president .
a minister smells a coat .,a coat is smelled by a minister .,the reader surprised the king .,the king was surprised by the reader .
the brother comforted the champion .,the champion was comforted by the brother .,a man teaches an employee .,an employee is taught by a man .
an opponent embraces a son .,a son is embraced by an opponent .,the prince followed the mayor .,the mayor was followed by the prince .
the actress understands the minister .,the minister is understood by the actress .,a reader ate a meal .,a meal was eaten by a reader .
a princess teaches a parent .,a parent is taught by a princess .,the soldier chased the army .,the army was chased by the soldier .
a candidate caught a chocolate .,a chocolate was caught by a candidate .,the lady describes the man .,the man is described by the lady .
a reader washes a lawyer .,a lawyer is washed by a reader .,the prince accepted the key .,the key was accepted by the prince .
the priest washed the parent .,the parent was washed by the priest .,a husband beats a doctor .,a doctor is beaten by a husband .
a woman purchased a salad .,a salad was purchased by a woman .,the chief understands the reader .,the reader is understood by the chief .
the boy kissed the guy .,the guy was kissed by the boy .,a candidate discovers a salad .,a salad is discovered by a candidate .
a teacher drinks a coffee .,a coffee is drunk by a teacher .,the writer embraced the child .,the child was embraced by the writer .
a husband raises a knife .,a knife is raised by a husband .,the company protected the winner .,the winner was protected by the company .
a hero dragged a bottle .,a bottle was dragged by a hero .,the opponent protects the wife .,the wife is protected by the opponent .
a worker raises a wire .,a wire is raised by a worker .,the doctor understood the mayor .,the mayor was understood by the doctor .
the woman hurried the leader .,the leader was hurried by the woman .,a guy describes an aunt .,an aunt is described by a guy .
the candidate forgot the box .,the box was forgotten by the candidate .,a lawyer leads a business .,a business is led by a lawyer .
the prince comforted the king .,the king was comforted by the prince .,a wife kills a singer .,a singer is killed by a wife .
the boy raises the princess .,the princess is raised by the boy .,an uncle helped a nurse .,a nurse was helped by an uncle .
the princess hurried the daughter .,the daughter was hurried by the princess .,a champion collects a juice .,a juice is collected by a champion .
a corporation keeps a coat .,a coat is kept by a corporation .,the bishop taught the child .,the child was taught by the bishop .
an adult discovered a coffee .,a coffee was discovered by an adult .,the husband asks the administration .,the administration is asked by the husband .
a boy purchases a computer .,a computer is purchased by a boy .,the daughter tasted the pie .,the pie was tasted by the daughter .
the buddy strikes the aunt .,the aunt is struck by the buddy .,a hero wanted a chocolate .,a chocolate was wanted by a hero .
the leader tasted the chicken .,the chicken was tasted by the leader .,a hero understands a soldier .,a soldier is understood by a hero .
the man surprises the prince .,the prince is surprised by the man .,a doctor washed a bowl .,a bowl was washed by a doctor .
the writer raised the guitar .,the guitar was raised by the writer .,a woman comforts a cop .,a cop is comforted by a woman .
a man understood a manager .,a manager was understood by a man .,the doctor forgets the button .,the button is forgotten by the doctor .
the husband raises the camera .,the camera is raised by the husband .,a singer punched a woman .,a woman was punched by a singer .
the adult drinks the tea .,the tea is drunk by the adult .,a corporation used a book .,a book was used by a corporation .
a wife collected a cheese .,a cheese was collected by a wife .,the uncle smells the pie .,the pie is smelled by the uncle .
the captain broke the plate .,the plate was broken by the captain .,a man washes a nurse .,a nurse is washed by a man .
the doctor washed the bowl .,the bowl was washed by the doctor .,a president accepts a hat .,a hat is accepted by a president .
the professor washed the colonel .,the colonel was washed by the professor .,a daughter asks a buddy .,a buddy is asked by a daughter .
an adult led a corporation .,a corporation was led by an adult .,the brother grabs the beer .,the beer is grabbed by the brother .
a minister strikes a father .,a father is struck by a minister .,the secretary destroyed the book .,the book was destroyed by the secretary .
a wife tasted a salad .,a salad was tasted by a wife .,the writer carries the lawyer .,the lawyer is carried by the writer .
the business protected the daughter .,the daughter was protected by the business .,a priest joins an army .,an army is joined by a priest .
a guy used a log .,a log was used by a guy .,the writer strikes the hero .,the hero is struck by the writer .
a singer tasted a meal .,a meal was tasted by a singer .,the army uses the bowl .,the bowl is used by the army .
a worker understood a secretary .,a secretary was understood by a worker .,the aunt removes the knife .,the knife is removed by the aunt .
an uncle comforted a writer .,a writer was comforted by an uncle .,the actor forgives the administration .,the administration is forgiven by the actor .
a cop ate a meal .,a meal was eaten by a cop .,the husband catches the guy .,the guy is caught by the husband .
the son asked the corporation .,the corporation was asked by the son .,a pilot strikes a writer .,a writer is struck by a pilot .
a parent tastes a candy .,a candy is tasted by a parent .,the buddy prepared the coat .,the coat was prepared by the buddy .
a prince carried a cheese .,a cheese was carried by a prince .,the leader wraps the crystal .,the crystal is wrapped by the leader .
the professor tastes the salad .,the salad is tasted by the professor .,a partner embraced a captain .,a captain was embraced by a partner .
a guy understands a mother .,a mother is understood by a guy .,the corporation wanted the tea .,the tea was wanted by the corporation .
the mother forgets the guitar .,the guitar is forgotten by the mother .,a champion smelled a wire .,a wire was smelled by a champion .
a company helped a son .,a son was helped by a company .,the mother drags the secretary .,the secretary is dragged by the mother .
the man discovers the captain .,the captain is discovered by the man .,an aunt selected a bottle .,a bottle was selected by an aunt .
a child punched a kid .,a kid was punched by a child .,the buddy wraps the newspaper .,the newspaper is wrapped by the buddy .
the hero comforted the prince .,the prince was comforted by the hero .,a kid teaches a son .,a son is taught by a kid .
a man joined a cop .,a cop was joined by a man .,the singer smells the cheese .,the cheese is smelled by the singer .
a scientist wraps a button .,a button is wrapped by a scientist .,the minister described the physician .,the physician was described by the minister .
a winner destroys a beer .,a beer is destroyed by a winner .,the lady washed the doctor .,the doctor was washed by the lady .
a brother carried a flower .,a flower was carried by a brother .,the opponent follows the administration .,the administration is followed by the opponent .
a company uses a television .,a television is used by a company .,the employee carried the student .,the student was carried by the employee .
the actor hurried the minister .,the minister was hurried by the actor .,an administration purchases a pie .,a pie is purchased by an administration .
a president described a beer .,a beer was described by a president .,the prince asks the champion .,the champion is asked by the prince .
the doctor carries the candy .,the candy is carried by the doctor .,a secretary dragged an engine .,an engine was dragged by a secretary .
the reader kills the boy .,the boy is killed by the reader .,a club used a flower .,a flower was used by a club .
a minister selects a meal .,a meal is selected by a minister .,the friend protected the cousin .,the cousin was protected by the friend .
the doctor selects the cheese .,the cheese is selected by the doctor .,an opponent forgave a band .,a band was forgiven by an opponent .
the professor catches the partner .,the partner is caught by the professor .,a band purchased a candy .,a candy was purchased by a band .
a student collects a chocolate .,a chocolate is collected by a student .,the author punched the physician .,the physician was punched by the author .
the cop asked the band .,the band was asked by the cop .,a man forgives a company .,a company is forgiven by a man .
a winner selects a wire .,a wire is selected by a winner .,the daughter struck the cousin .,the cousin was struck by the daughter .
the girl understands the buddy .,the buddy is understood by the girl .,a doctor discovered a cigarette .,a cigarette was discovered by a doctor .
an uncle tasted a candy .,a candy was tasted by an uncle .,the adult surprises the husband .,the husband is surprised by the adult .
the professor destroys the juice .,the juice is destroyed by the professor .,a minister ate a pie .,a pie was eaten by a minister .
a president hurries a soldier .,a soldier is hurried by a president .,the son tasted the salad .,the salad was tasted by the son .
the friend led the company .,the company was led by the friend .,a woman eats a chicken .,a chicken is eaten by a woman .
a cop raises a knife .,a knife is raised by a cop .,the opponent asked the parent .,the parent was asked by the opponent .
the aunt grabs the instrument .,the instrument is grabbed by the aunt .,a brother collected a meal .,a meal was collected by a brother .
the reader taught the uncle .,the uncle was taught by the reader .,an army purchases a cheese .,a cheese is purchased by an army .
the colonel led the army .,the army was led by the colonel .,an attorney helps a worker .,a worker is helped by an attorney .
a nurse washed a key .,a key was washed by a nurse .,the king strikes the girl .,the girl is struck by the king .
an opponent embraces a lawyer .,a lawyer is embraced by an opponent .,the daughter washed the father .,the father was washed by the daughter .
a president wanted a cheese .,a cheese was wanted by a president .,the writer teaches the lady .,the lady is taught by the writer .
the employee selected the pie .,the pie was selected by the employee .,a captain collects an engine .,an engine is collected by a captain .
the parent forgave the author .,the author was forgiven by the parent .,a physician leaves a jacket .,a jacket is left by a physician .
a chief destroyed a meal .,a meal was destroyed by a chief .,the kid beats the teacher .,the teacher is beaten by the kid .
the husband smelled the meal .,the meal was smelled by the husband .,a chief teaches a writer .,a writer is taught by a chief .
the guest hurts the reader .,the reader is hurt by the guest .,an opponent left a coat .,a coat was left by an opponent .
a champion comforted a chief .,a chief was comforted by a champion .,the woman drags the aunt .,the aunt is dragged by the woman .
the mayor accepts the cigarette .,the cigarette is accepted by the mayor .,a singer ate a chocolate .,a chocolate was eaten by a singer .
the mayor left the key .,the key was left by the mayor .,a daughter raises a coffee .,a coffee is raised by a daughter .
a prince judged a band .,a band was judged by a prince .,the minister describes the beer .,the beer is described by the minister .
the father led the band .,the band was led by the father .,a company purchases a chocolate .,a chocolate is purchased by a company .
the lady beats the champion .,the champion is beaten by the lady .,a minister judged a chief .,a chief was judged by a minister .
a sheriff dragged a husband .,a husband was dragged by a sheriff .,the aunt uses the book .,the book is used by the aunt .
a lady bothered an author .,an author was bothered by a lady .,the mayor strikes the uncle .,the uncle is struck by the mayor .
a parent bothers a band .,a band is bothered by a parent .,the guy removed the motor .,the motor was removed by the guy .
the buddy bothers the administration .,the administration is bothered by the buddy .,a company wanted a juice .,a juice was wanted by a company .
a manager strikes a king .,a king is struck by a manager .,the hero forgot the beer .,the beer was forgotten by the hero .
the opponent drinks the coffee .,the coffee is drunk by the opponent .,a nurse killed an actor .,an actor was killed by a nurse .
the husband carries the pie .,the pie is carried by the husband .,an author raised a meal .,a meal was raised by an author .
the army uses the plate .,the plate is used by the army .,a buddy removed a knife .,a knife was removed by a buddy .
a daughter joins a minister .,a minister is joined by a daughter .,the captain grabbed the meal .,the meal was grabbed by the captain .
a soldier left a bottle .,a bottle was left by a soldier .,the hero grabs the chocolate .,the chocolate is grabbed by the hero .
a president asks a company .,a company is asked by a president .,the hero judged the army .,the army was judged by the hero .
the sheriff bothered the mayor .,the mayor was bothered by the sheriff .,a nurse grabs a computer .,a computer is grabbed by a nurse .
an adult dragged a motor .,a motor was dragged by an adult .,the sheriff removes the bowl .,the bowl is removed by the sheriff .
the partner purchases the coffee .,the coffee is purchased by the partner .,a candidate killed a student .,a student was killed by a candidate .
a nurse describes a scientist .,a scientist is described by a nurse .,the lady tasted the chicken .,the chicken was tasted by the lady .
