ppo, pdo, tpo, tdo
a buddy left a cheese for an army .,a buddy left an army a cheese .,the boy promised the coat to the teacher .,the boy promised the teacher the coat .
an author gave a flower to a club .,an author gave a club a flower .,the student bought the tea for the lady .,the student bought the lady the tea .
the prince supplied the beer to the secretary .,the prince supplied the secretary the beer .,a physician delivered a candy for a candidate .,a physician delivered a candidate a candy .
an aunt promised a gun to a sheriff .,an aunt promised a sheriff a gun .,the priest delivered the chocolate for the lawyer .,the priest delivered the lawyer the chocolate .
the partner bought the coat for the writer .,the partner bought the writer the coat .,a lady brought a guitar to an adult .,a lady brought an adult a guitar .
the actor found the telephone for the army .,the actor found the army the telephone .,a partner brought a coffee to a manager .,a partner brought a manager a coffee .
a manager threw a coffee to an employee .,a manager threw an employee a coffee .,the author delivered the newspaper for the winner .,the author delivered the winner the newspaper .
a bishop caught an iron for a kid .,a bishop caught a kid an iron .,the champion supplied the chocolate to the corporation .,the champion supplied the corporation the chocolate .
the champion supplied the salad to the club .,the champion supplied the club the salad .,a nurse got a cheese for a brother .,a nurse got a brother a cheese .
the uncle purchased the beer for the administration .,the uncle purchased the administration the beer .,a nurse promised a cup to a teacher .,a nurse promised a teacher a cup .
a manager caught a cigarette for a man .,a manager caught a man a cigarette .,the adult brought the television to the brother .,the adult brought the brother the television .
a prince threw a gun to a husband .,a prince threw a husband a gun .,the president purchased the wire for the corporation .,the president purchased the corporation the wire .
the buddy brought the salad to the army .,the buddy brought the army the salad .,a singer left a juice for a company .,a singer left a company a juice .
a lawyer brought a juice to a club .,a lawyer brought a club a juice .,the corporation designed the plate for the army .,the corporation designed the army the plate .
a worker fed a pie to a child .,a worker fed a child a pie .,the captain purchased the box for the administration .,the captain purchased the administration the box .
the lawyer sold the anchor to the corporation .,the lawyer sold the corporation the anchor .,a reader left a ball for a minister .,a reader left a minister a ball .
the bishop purchased the coat for the band .,the bishop purchased the band the coat .,a scientist sent a chocolate to a company .,a scientist sent a company a chocolate .
the student brought the meal to the wife .,the student brought the wife the meal .,a hero kept a chicken for a chief .,a hero kept a chief a chicken .
the son promised the meal to the opponent .,the son promised the opponent the meal .,a husband left a juice for an army .,a husband left an army a juice .
an uncle gave a beer to a lawyer .,an uncle gave a lawyer a beer .,the president caught the coat for the king .,the president caught the king the coat .
the kid supplied the beer to the administration .,the kid supplied the administration the beer .,a teacher found a tea for a sheriff .,a teacher found a sheriff a tea .
the scientist fed the pie to the professor .,the scientist fed the professor the pie .,a lawyer kept a guitar for a president .,a lawyer kept a president a guitar .
the student bought the machine for the cousin .,the student bought the cousin the machine .,an opponent fed a chicken to a parent .,an opponent fed a parent a chicken .
the wife saved the telephone for the physician .,the wife saved the physician the telephone .,an aunt took an anchor to a pilot .,an aunt took a pilot an anchor .
a sheriff left a meal for an administration .,a sheriff left an administration a meal .,the husband showed the candy to the band .,the husband showed the band the candy .
the uncle supplied the coffee to the author .,the uncle supplied the author the coffee .,a candidate found a beer for a corporation .,a candidate found a corporation a beer .
the prince sent the chocolate to the army .,the prince sent the army the chocolate .,a nurse bought a bag for a worker .,a nurse bought a worker a bag .
an author saved a juice for a corporation .,an author saved a corporation a juice .,the mother threw the beer to the captain .,the mother threw the captain the beer .
the husband designed the card for the physician .,the husband designed the physician the card .,a buddy took a book to a worker .,a buddy took a worker a book .
the author saved the pie for the boy .,the author saved the boy the pie .,a doctor fed a salad to a lady .,a doctor fed a lady a salad .
a partner kept an iron for a boy .,a partner kept a boy an iron .,the hero brought the tea to the band .,the hero brought the band the tea .
a guest made a box for a manager .,a guest made a manager a box .,the man supplied the book to the club .,the man supplied the club the book .
the wife saved the bottle for the business .,the wife saved the business the bottle .,a professor supplied a chocolate to a club .,a professor supplied a club a chocolate .
a brother showed a card to an army .,a brother showed an army a card .,the wife found the knife for the company .,the wife found the company the knife .
a priest promised a coffee to a lawyer .,a priest promised a lawyer a coffee .,the manager caught the bowl for the soldier .,the manager caught the soldier the bowl .
the lady kept the candy for the buddy .,the lady kept the buddy the candy .,a kid brought a television to an attorney .,a kid brought an attorney a television .
a hero promised a salad to an adult .,a hero promised an adult a salad .,the colonel delivered the meal for the attorney .,the colonel delivered the attorney the meal .
a wife promised a candy to a professor .,a wife promised a professor a candy .,the prince caught the instrument for the winner .,the prince caught the winner the instrument .
the guest saved the cheese for the secretary .,the guest saved the secretary the cheese .,a wife supplied a bottle to a guy .,a wife supplied a guy a bottle .
a minister caught a gun for a father .,a minister caught a father a gun .,the woman showed the tea to the club .,the woman showed the club the tea .
the minister delivered the beer for the father .,the minister delivered the father the beer .,a secretary supplied an iron to an army .,a secretary supplied an army an iron .
the nurse promised the juice to the prince .,the nurse promised the prince the juice .,a mother left a beer for an administration .,a mother left an administration a beer .
the king sold the coffee to the winner .,the king sold the winner the coffee .,a woman kept a juice for a corporation .,a woman kept a corporation a juice .
a woman drew a bag for a cousin .,a woman drew a cousin a bag .,the daughter sent the hat to the army .,the daughter sent the army the hat .
a son bought a juice for a soldier .,a son bought a soldier a juice .,the friend showed the meal to the woman .,the friend showed the woman the meal .
the lady brought the pie to the band .,the lady brought the band the pie .,a chief drew a crystal for a brother .,a chief drew a brother a crystal .
the girl showed the salad to the pilot .,the girl showed the pilot the salad .,a priest bought a chicken for a manager .,a priest bought a manager a chicken .
the secretary gave the log to the employer .,the secretary gave the employer the log .,a boy left a flower for a business .,a boy left a business a flower .
the teacher found the machine for the mayor .,the teacher found the mayor the machine .,a manager supplied a chicken to a corporation .,a manager supplied a corporation a chicken .
a nurse sold a juice to a corporation .,a nurse sold a corporation a juice .,the adult drew the pot for the band .,the adult drew the band the pot .
a worker brought an instrument to an attorney .,a worker brought an attorney an instrument .,the cop drew the flower for the army .,the cop drew the army the flower .
a partner saved a key for an actress .,a partner saved an actress a key .,the author sold the cheese to the company .,the author sold the company the cheese .
a parent made a knife for a champion .,a parent made a champion a knife .,the worker sent the salad to the actress .,the worker sent the actress the salad .
a hero fed a meal to a president .,a hero fed a president a meal .,the guy designed the television for the aunt .,the guy designed the aunt the television .
the priest delivered the beer for the leader .,the priest delivered the leader the beer .,a princess showed a juice to a hero .,a princess showed a hero a juice .
the cop supplied the juice to the business .,the cop supplied the business the juice .,a child got a beer for a club .,a child got a club a beer .
the sheriff purchased the book for the chief .,the sheriff purchased the chief the book .,a hero supplied an instrument to a corporation .,a hero supplied a corporation an instrument .
the army designed the card for the business .,the army designed the business the card .,an adult promised a chicken to a cousin .,an adult promised a cousin a chicken .
a captain made a television for an actor .,a captain made an actor a television .,the employer gave the bowl to the company .,the employer gave the company the bowl .
the worker showed the juice to the adult .,the worker showed the adult the juice .,an aunt caught a coat for a chief .,an aunt caught a chief a coat .
the hero left the television for the chief .,the hero left the chief the television .,a woman gave a coat to a priest .,a woman gave a priest a coat .
the kid showed the bell to the army .,the kid showed the army the bell .,a princess caught a book for an opponent .,a princess caught an opponent a book .
the mother found the book for the company .,the mother found the company the book .,a winner showed a cheese to a king .,a winner showed a king a cheese .
a bishop sold a pie to a corporation .,a bishop sold a corporation a pie .,the brother found the salad for the child .,the brother found the child the salad .
a worker made an iron for a band .,a worker made a band an iron .,the reader took the machine to the president .,the reader took the president the machine .
the candidate designed the jacket for the child .,the candidate designed the child the jacket .,a princess sent an iron to a colonel .,a princess sent a colonel an iron .
a chief threw a beer to a worker .,a chief threw a worker a beer .,the princess saved the coffee for the band .,the princess saved the band the coffee .
the minister left the candy for the band .,the minister left the band the candy .,a colonel sent a tea to a physician .,a colonel sent a physician a tea .
the husband bought the salad for the employer .,the husband bought the employer the salad .,a sheriff took a knife to a princess .,a sheriff took a princess a knife .
the colonel fed the pie to the manager .,the colonel fed the manager the pie .,a president delivered a coffee for a man .,a president delivered a man a coffee .
the employee brought the television to the doctor .,the employee brought the doctor the television .,a soldier made a jacket for an administration .,a soldier made an administration a jacket .
the king sent the beer to the administration .,the king sent the administration the beer .,an adult made a motor for a corporation .,an adult made a corporation a motor .
the leader caught the iron for the uncle .,the leader caught the uncle the iron .,a mother gave a coffee to an army .,a mother gave an army a coffee .
a bishop took a cigarette to an employer .,a bishop took an employer a cigarette .,the manager bought the juice for the wife .,the manager bought the wife the juice .
the princess brought the chocolate to the army .,the princess brought the army the chocolate .,an employer found a tea for a club .,an employer found a club a tea .
the actor found the computer for the business .,the actor found the business the computer .,a teacher promised a newspaper to a priest .,a teacher promised a priest a newspaper .
a doctor caught a television for a husband .,a doctor caught a husband a television .,the hero fed the salad to the prince .,the hero fed the prince the salad .
a hero promised a computer to a mayor .,a hero promised a mayor a computer .,the guest caught the bag for the father .,the guest caught the father the bag .
the son found the candy for the band .,the son found the band the candy .,a man gave a gun to a business .,a man gave a business a gun .
the mother promised the chocolate to the secretary .,the mother promised the secretary the chocolate .,a pilot drew a ball for an army .,a pilot drew an army a ball .
a child gave a tea to a champion .,a child gave a champion a tea .,the pilot drew the machine for the administration .,the pilot drew the administration the machine .
the priest drew the log for the writer .,the priest drew the writer the log .,a nurse showed a cigarette to a corporation .,a nurse showed a corporation a cigarette .
a secretary showed a chocolate to an administration .,a secretary showed an administration a chocolate .,the author kept the juice for the scientist .,the author kept the scientist the juice .
the writer fed the salad to the teacher .,the writer fed the teacher the salad .,a leader made a knife for an administration .,a leader made an administration a knife .
the reader found the coat for the cousin .,the reader found the cousin the coat .,a champion sent a cheese to a woman .,a champion sent a woman a cheese .
a candidate gave a glass to a lady .,a candidate gave a lady a glass .,the daughter left the chocolate for the band .,the daughter left the band the chocolate .
the attorney bought the beer for the physician .,the attorney bought the physician the beer .,a chief brought a book to a leader .,a chief brought a leader a book .
a woman promised a cheese to an author .,a woman promised an author a cheese .,the husband got the beer for the physician .,the husband got the physician the beer .
the father showed the glass to the club .,the father showed the club the glass .,a sheriff left a knife for a band .,a sheriff left a band a knife .
an aunt fed a salad to a reader .,an aunt fed a reader a salad .,the scientist purchased the camera for the administration .,the scientist purchased the administration the camera .
the champion kept the chocolate for the nurse .,the champion kept the nurse the chocolate .,a child showed a bell to a company .,a child showed a company a bell .
a minister purchased a coffee for a physician .,a minister purchased a physician a coffee .,the aunt promised the button to the son .,the aunt promised the son the button .
a nurse sent a wire to a pilot .,a nurse sent a pilot a wire .,the attorney caught the instrument for the girl .,the attorney caught the girl the instrument .
an opponent showed a card to a corporation .,an opponent showed a corporation a card .,the reader left the coffee for the daughter .,the reader left the daughter the coffee .
a president showed a chicken to a guy .,a president showed a guy a chicken .,the student caught the machine for the scientist .,the student caught the scientist the machine .
the employer sent the cheese to the reader .,the employer sent the reader the cheese .,a child bought a chicken for a cousin .,a child bought a cousin a chicken .
a colonel fed a chocolate to a physician .,a colonel fed a physician a chocolate .,the pilot purchased the book for the administration .,the pilot purchased the administration the book .
a winner drew a crystal for an actor .,a winner drew an actor a crystal .,the teacher threw the chocolate to the colonel .,the teacher threw the colonel the chocolate .
a father brought a beer to a corporation .,a father brought a corporation a beer .,the wife bought the juice for the husband .,the wife bought the husband the juice .
the aunt kept the bottle for the administration .,the aunt kept the administration the bottle .,a daughter sent a salad to a company .,a daughter sent a company a salad .
an attorney sent a bottle to a princess .,an attorney sent a princess a bottle .,the secretary found the box for the manager .,the secretary found the manager the box .
a student kept a machine for a friend .,a student kept a friend a machine .,the adult showed the cheese to the man .,the adult showed the man the cheese .
the worker caught the camera for the manager .,the worker caught the manager the camera .,a friend showed a tea to an army .,a friend showed an army a tea .
the minister kept the chicken for the bishop .,the minister kept the bishop the chicken .,an opponent threw a motor to a guy .,an opponent threw a guy a motor .
a cop promised a pie to a father .,a cop promised a father a pie .,the champion made the book for the club .,the champion made the club the book .
a partner fed a cheese to a cousin .,a partner fed a cousin a cheese .,the husband saved the coffee for the champion .,the husband saved the champion the coffee .
a pilot kept a pie for a band .,a pilot kept a band a pie .,the cop brought the meal to the wife .,the cop brought the wife the meal .
a pilot drew a crystal for a company .,a pilot drew a company a crystal .,the hero brought the book to the partner .,the hero brought the partner the book .
a scientist caught a glass for a nurse .,a scientist caught a nurse a glass .,the kid sent the tea to the company .,the kid sent the company the tea .
the company designed the cigarette for the corporation .,the company designed the corporation the cigarette .,a brother promised a ball to a cousin .,a brother promised a cousin a ball .
the father promised the meal to the employee .,the father promised the employee the meal .,a lawyer saved a cigarette for an army .,a lawyer saved an army a cigarette .
the hero promised the button to the aunt .,the hero promised the aunt the button .,a soldier made a flower for an administration .,a soldier made an administration a flower .
the friend supplied the cheese to the daughter .,the friend supplied the daughter the cheese .,an actress got a pie for a candidate .,an actress got a candidate a pie .
the father brought the beer to the prince .,the father brought the prince the beer .,a girl saved a chicken for a company .,a girl saved a company a chicken .
the buddy supplied the candy to the corporation .,the buddy supplied the corporation the candy .,a prince saved a beer for an uncle .,a prince saved an uncle a beer .
the princess fed the pie to the daughter .,the princess fed the daughter the pie .,an employer drew a bell for a sheriff .,an employer drew a sheriff a bell .
the attorney supplied the guitar to the administration .,the attorney supplied the administration the guitar .,a lady caught a machine for a child .,a lady caught a child a machine .
the friend promised the chocolate to the pilot .,the friend promised the pilot the chocolate .,a scientist made a book for an army .,a scientist made an army a book .
the winner found the instrument for the lawyer .,the winner found the lawyer the instrument .,an author showed a chocolate to a guy .,an author showed a guy a chocolate .
a student fed a cheese to a worker .,a student fed a worker a cheese .,the brother delivered the tea for the king .,the brother delivered the king the tea .
an uncle brought a button to a company .,an uncle brought a company a button .,the brother saved the cheese for the partner .,the brother saved the partner the cheese .
a child purchased a juice for a corporation .,a child purchased a corporation a juice .,the leader took the iron to the reader .,the leader took the reader the iron .
the daughter promised the juice to the teacher .,the daughter promised the teacher the juice .,a king purchased an anchor for an army .,a king purchased an army an anchor .
a physician threw a beer to a leader .,a physician threw a leader a beer .,the buddy delivered the meal for the soldier .,the buddy delivered the soldier the meal .
the son made the wire for the hero .,the son made the hero the wire .,an opponent took a glass to a scientist .,an opponent took a scientist a glass .
the wife sent the engine to the band .,the wife sent the band the engine .,a lady saved a tea for an uncle .,a lady saved an uncle a tea .
the reader got the card for the business .,the reader got the business the card .,a teacher fed a chicken to a buddy .,a teacher fed a buddy a chicken .
the cop supplied the cheese to the princess .,the cop supplied the princess the cheese .,a partner caught a ball for a kid .,a partner caught a kid a ball .
the cousin threw the newspaper to the mayor .,the cousin threw the mayor the newspaper .,a writer drew a crystal for a business .,a writer drew a business a crystal .
a woman purchased a computer for a buddy .,a woman purchased a buddy a computer .,the boy supplied the iron to the opponent .,the boy supplied the opponent the iron .
a father got a chocolate for an adult .,a father got an adult a chocolate .,the actress showed the coffee to the band .,the actress showed the band the coffee .
an author threw a beer to a cousin .,an author threw a cousin a beer .,the adult saved the pie for the company .,the adult saved the company the pie .
a bishop sent a cheese to a sheriff .,a bishop sent a sheriff a cheese .,the princess saved the newspaper for the partner .,the princess saved the partner the newspaper .
a lawyer fed a cheese to a pilot .,a lawyer fed a pilot a cheese .,the opponent delivered the candy for the parent .,the opponent delivered the parent the candy .
the winner brought the box to the brother .,the winner brought the brother the box .,a man saved a pie for a lawyer .,a man saved a lawyer a pie .
the doctor purchased the coffee for the business .,the doctor purchased the business the coffee .,a princess took a wire to a woman .,a princess took a woman a wire .
an employee designed a plate for a worker .,an employee designed a worker a plate .,the girl promised the tea to the actor .,the girl promised the actor the tea .
the singer showed the ball to the mother .,the singer showed the mother the ball .,a mayor left an iron for a captain .,a mayor left a captain an iron .
a kid fed a chicken to a cousin .,a kid fed a cousin a chicken .,the prince kept the juice for the corporation .,the prince kept the corporation the juice .
the parent kept the pie for the administration .,the parent kept the administration the pie .,a worker showed a glass to a cop .,a worker showed a cop a glass .
a worker made a television for a band .,a worker made a band a television .,the winner fed the pie to the parent .,the winner fed the parent the pie .
an employer brought a juice to a hero .,an employer brought a hero a juice .,the friend purchased the gun for the corporation .,the friend purchased the corporation the gun .
the lawyer bought the tea for the soldier .,the lawyer bought the soldier the tea .,a buddy gave a plate to a company .,a buddy gave a company a plate .
a manager supplied a pie to a singer .,a manager supplied a singer a pie .,the employer found the salad for the mayor .,the employer found the mayor the salad .
a prince sold a beer to a club .,a prince sold a club a beer .,the girl drew the instrument for the administration .,the girl drew the administration the instrument .
the student designed the bottle for the buddy .,the student designed the buddy the bottle .,a winner supplied a motor to a band .,a winner supplied a band a motor .
a son fed a cheese to a professor .,a son fed a professor a cheese .,the prince caught the knife for the soldier .,the prince caught the soldier the knife .
a sheriff brought a beer to a band .,a sheriff brought a band a beer .,the secretary kept the coffee for the club .,the secretary kept the club the coffee .
the leader gave the guitar to the chief .,the leader gave the chief the guitar .,a nurse caught a knife for a father .,a nurse caught a father a knife .
the boy fed the meal to the uncle .,the boy fed the uncle the meal .,a writer delivered a camera for a nurse .,a writer delivered a nurse a camera .
the scientist made the flower for the administration .,the scientist made the administration the flower .,an aunt supplied a beer to an army .,an aunt supplied an army a beer .
the worker bought the instrument for the wife .,the worker bought the wife the instrument .,a king showed a coffee to a corporation .,a king showed a corporation a coffee .
the writer threw the bell to the princess .,the writer threw the princess the bell .,an actor delivered a television for a bishop .,an actor delivered a bishop a television .
an aunt made a computer for a lawyer .,an aunt made a lawyer a computer .,the employer sent the juice to the club .,the employer sent the club the juice .
a wife gave a tea to a business .,a wife gave a business a tea .,the bishop bought the beer for the priest .,the bishop bought the priest the beer .
a president got a camera for an army .,a president got an army a camera .,the kid fed the chocolate to the doctor .,the kid fed the doctor the chocolate .
a partner gave a cigarette to a winner .,a partner gave a winner a cigarette .,the son made the instrument for the parent .,the son made the parent the instrument .
a partner drew a television for an administration .,a partner drew an administration a television .,the captain sold the pie to the band .,the captain sold the band the pie .
a woman sold a coffee to a business .,a woman sold a business a coffee .,the doctor got the juice for the winner .,the doctor got the winner the juice .
the scientist caught the engine for the doctor .,the scientist caught the doctor the engine .,an attorney showed a tea to a reader .,an attorney showed a reader a tea .
an aunt saved an anchor for a business .,an aunt saved a business an anchor .,the author sold the glass to the father .,the author sold the father the glass .
the guest purchased the pie for the club .,the guest purchased the club the pie .,a lady threw a juice to a partner .,a lady threw a partner a juice .
a cousin fed a candy to a reader .,a cousin fed a reader a candy .,the attorney kept the cheese for the administration .,the attorney kept the administration the cheese .
the scientist caught the computer for the opponent .,the scientist caught the opponent the computer .,a princess took a knife to an employer .,a princess took an employer a knife .
a kid gave a coffee to an employee .,a kid gave an employee a coffee .,the actress left the meal for the wife .,the actress left the wife the meal .
the priest gave the coffee to the company .,the priest gave the company the coffee .,a scientist left a beer for a pilot .,a scientist left a pilot a beer .
a father sold a pie to a band .,a father sold a band a pie .,the worker got the beer for the business .,the worker got the business the beer .
the scientist left the tea for the corporation .,the scientist left the corporation the tea .,a cousin showed a plate to a father .,a cousin showed a father a plate .
a partner promised a bottle to a mother .,a partner promised a mother a bottle .,the company designed the key for the band .,the company designed the band the key .
a teacher delivered a bowl for a pilot .,a teacher delivered a pilot a bowl .,the minister promised the beer to the actress .,the minister promised the actress the beer .
a nurse promised a key to a lawyer .,a nurse promised a lawyer a key .,the minister got the bottle for the club .,the minister got the club the bottle .
the sheriff brought the beer to the army .,the sheriff brought the army the beer .,a champion designed a bowl for a pilot .,a champion designed a pilot a bowl .
the writer fed the chicken to the guest .,the writer fed the guest the chicken .,an adult made a knife for an actor .,an adult made an actor a knife .
the winner showed the coffee to the band .,the winner showed the band the coffee .,a reader delivered a beer for an employee .,a reader delivered an employee a beer .
a writer fed a chicken to an author .,a writer fed an author a chicken .,the adult caught the key for the manager .,the adult caught the manager the key .
a leader got a motor for a prince .,a leader got a prince a motor .,the employee supplied the chicken to the sheriff .,the employee supplied the sheriff the chicken .
a mayor threw a juice to a father .,a mayor threw a father a juice .,the employee kept the newspaper for the army .,the employee kept the army the newspaper .
the champion promised the juice to the captain .,the champion promised the captain the juice .,an attorney left a pie for a guest .,an attorney left a guest a pie .
the worker brought the candy to the pilot .,the worker brought the pilot the candy .,a winner purchased a newspaper for an administration .,a winner purchased an administration a newspaper .
the nurse fed the chocolate to the captain .,the nurse fed the captain the chocolate .,a cousin drew a crystal for a band .,a cousin drew a band a crystal .
the parent found the candy for the captain .,the parent found the captain the candy .,a manager brought a salad to a club .,a manager brought a club a salad .
the teacher caught the jacket for the opponent .,the teacher caught the opponent the jacket .,an attorney brought an engine to a band .,an attorney brought a band an engine .
a partner drew a jacket for a club .,a partner drew a club a jacket .,the woman gave the juice to the bishop .,the woman gave the bishop the juice .
a wife threw a candy to a cousin .,a wife threw a cousin a candy .,the manager left the tea for the guest .,the manager left the guest the tea .
the singer made the gun for the reader .,the singer made the reader the gun .,an aunt fed a pie to a lady .,an aunt fed a lady a pie .
a mother caught a plate for a girl .,a mother caught a girl a plate .,the cop showed the beer to the president .,the cop showed the president the beer .
the student delivered the machine for the brother .,the student delivered the brother the machine .,an attorney fed a cheese to a manager .,an attorney fed a manager a cheese .
the aunt threw the motor to the professor .,the aunt threw the professor the motor .,a parent drew an anchor for an administration .,a parent drew an administration an anchor .
the colonel sent the iron to the boy .,the colonel sent the boy the iron .,an employee saved a coat for a candidate .,an employee saved a candidate a coat .
the parent got the motor for the writer .,the parent got the writer the motor .,a man sold a salad to a nurse .,a man sold a nurse a salad .
a student brought a tea to a club .,a student brought a club a tea .,the lady bought the meal for the candidate .,the lady bought the candidate the meal .
the teacher purchased the gun for the administration .,the teacher purchased the administration the gun .,a kid threw a coffee to a guy .,a kid threw a guy a coffee .
the king got the tea for the girl .,the king got the girl the tea .,a nurse threw a machine to a writer .,a nurse threw a writer a machine .
a pilot sold a newspaper to a woman .,a pilot sold a woman a newspaper .,the employee found the cheese for the kid .,the employee found the kid the cheese .
a lawyer made a glass for a child .,a lawyer made a child a glass .,the manager threw the pie to the employee .,the manager threw the employee the pie .
the singer made the button for the army .,the singer made the army the button .,a partner fed a meal to a champion .,a partner fed a champion a meal .
the king designed the bell for the partner .,the king designed the partner the bell .,a kid supplied a cup to a captain .,a kid supplied a captain a cup .
the guest caught the guitar for the singer .,the guest caught the singer the guitar .,a colonel fed a pie to a buddy .,a colonel fed a buddy a pie .
a captain promised a coffee to an employer .,a captain promised an employer a coffee .,the actor designed the bottle for the man .,the actor designed the man the bottle .
the manager bought the beer for the winner .,the manager bought the winner the beer .,a chief brought a chicken to a teacher .,a chief brought a teacher a chicken .
the partner bought the candy for the son .,the partner bought the son the candy .,a professor fed a cheese to an actor .,a professor fed an actor a cheese .
the girl supplied the cheese to the administration .,the girl supplied the administration the cheese .,an aunt drew a plate for a band .,an aunt drew a band a plate .
a doctor drew a log for a club .,a doctor drew a club a log .,the friend gave the chocolate to the army .,the friend gave the army the chocolate .
the president showed the tea to the club .,the president showed the club the tea .,a colonel drew a key for an administration .,a colonel drew an administration a key .
the partner delivered the meal for the minister .,the partner delivered the minister the meal .,a chief promised a coat to a princess .,a chief promised a princess a coat .
the candidate supplied the machine to the mayor .,the candidate supplied the mayor the machine .,a writer got a chocolate for an opponent .,a writer got an opponent a chocolate .
the daughter took the engine to the singer .,the daughter took the singer the engine .,an actress saved a salad for a teacher .,an actress saved a teacher a salad .
a mother got a candy for an administration .,a mother got an administration a candy .,the student supplied the chicken to the partner .,the student supplied the partner the chicken .
an employer gave a bowl to a corporation .,an employer gave a corporation a bowl .,the friend caught the camera for the princess .,the friend caught the princess the camera .
the attorney delivered the chicken for the physician .,the attorney delivered the physician the chicken .,a nurse promised a juice to a daughter .,a nurse promised a daughter a juice .
a guest delivered an anchor for an actress .,a guest delivered an actress an anchor .,the employee threw the cheese to the attorney .,the employee threw the attorney the cheese .
a captain supplied a salad to a band .,a captain supplied a band a salad .,the buddy caught the telephone for the author .,the buddy caught the author the telephone .
an opponent sold a cheese to a band .,an opponent sold a band a cheese .,the physician drew the log for the corporation .,the physician drew the corporation the log .
the doctor designed the key for the cop .,the doctor designed the cop the key .,a priest threw a cup to a mayor .,a priest threw a mayor a cup .
the nurse sold the juice to the army .,the nurse sold the army the juice .,a friend kept a wire for a teacher .,a friend kept a teacher a wire .
the professor sent the chocolate to the cop .,the professor sent the cop the chocolate .,a priest purchased a cheese for a daughter .,a priest purchased a daughter a cheese .
the employer fed the salad to the nurse .,the employer fed the nurse the salad .,an uncle designed an iron for a manager .,an uncle designed a manager an iron .
the leader caught the gun for the manager .,the leader caught the manager the gun .,a guest brought a candy to a woman .,a guest brought a woman a candy .
a lawyer designed a flower for a father .,a lawyer designed a father a flower .,the guy gave the meal to the band .,the guy gave the band the meal .
a candidate got an engine for a corporation .,a candidate got a corporation an engine .,the cousin fed the pie to the sheriff .,the cousin fed the sheriff the pie .
a guest sent a cheese to a friend .,a guest sent a friend a cheese .,the woman left the beer for the corporation .,the woman left the corporation the beer .
the colonel threw the juice to the opponent .,the colonel threw the opponent the juice .,a nurse bought a coffee for a hero .,a nurse bought a hero a coffee .
the bishop fed the pie to the prince .,the bishop fed the prince the pie .,a hero got a tea for a captain .,a hero got a captain a tea .
a pilot drew an engine for an administration .,a pilot drew an administration an engine .,the child sent the crystal to the husband .,the child sent the husband the crystal .
the parent made the glass for the adult .,the parent made the adult the glass .,a winner fed a chicken to a reader .,a winner fed a reader a chicken .
the author brought the chocolate to the business .,the author brought the business the chocolate .,a kid found a coffee for a pilot .,a kid found a pilot a coffee .
the minister gave the tea to the hero .,the minister gave the hero the tea .,a leader purchased a cheese for a corporation .,a leader purchased a corporation a cheese .
a hero drew an engine for a prince .,a hero drew a prince an engine .,the brother fed the chocolate to the attorney .,the brother fed the attorney the chocolate .
the physician brought the camera to the princess .,the physician brought the princess the camera .,a man drew a motor for a scientist .,a man drew a scientist a motor .
the husband sent the cheese to the physician .,the husband sent the physician the cheese .,a parent drew a bowl for an actress .,a parent drew an actress a bowl .
the soldier sent the jacket to the army .,the soldier sent the army the jacket .,a lady purchased an instrument for a husband .,a lady purchased a husband an instrument .
the wife showed the beer to the corporation .,the wife showed the corporation the beer .,a prince kept a box for a lawyer .,a prince kept a lawyer a box .
the guy bought the tea for the actress .,the guy bought the actress the tea .,a chief took a glass to a king .,a chief took a king a glass .
the pilot saved the candy for the business .,the pilot saved the business the candy .,a physician gave a cheese to an actor .,a physician gave an actor a cheese .
the uncle threw the chicken to the cousin .,the uncle threw the cousin the chicken .,a cop saved a cheese for a business .,a cop saved a business a cheese .
a winner delivered a cheese for a soldier .,a winner delivered a soldier a cheese .,the actress supplied the crystal to the band .,the actress supplied the band the crystal .
a chief fed a pie to a writer .,a chief fed a writer a pie .,the guy made the ball for the band .,the guy made the band the ball .
the secretary made the engine for the band .,the secretary made the band the engine .,a doctor promised a meal to a president .,a doctor promised a president a meal .
the sheriff brought the tea to the business .,the sheriff brought the business the tea .,a band designed a motor for an administration .,a band designed an administration a motor .
the reader threw the beer to the colonel .,the reader threw the colonel the beer .,a guy made a card for a club .,a guy made a club a card .
the priest saved the coffee for the writer .,the priest saved the writer the coffee .,an uncle promised a cigarette to a colonel .,an uncle promised a colonel a cigarette .
the woman purchased the beer for the club .,the woman purchased the club the beer .,a sheriff took a book to a president .,a sheriff took a president a book .
the president took the book to the soldier .,the president took the soldier the book .,a physician caught a card for a guy .,a physician caught a guy a card .
an employee showed a cheese to a corporation .,an employee showed a corporation a cheese .,the sheriff made the hat for the champion .,the sheriff made the champion the hat .
the secretary designed the knife for the writer .,the secretary designed the writer the knife .,a hero gave a juice to a business .,a hero gave a business a juice .
the worker brought the pie to the corporation .,the worker brought the corporation the pie .,a reader made a cigarette for a prince .,a reader made a prince a cigarette .
the father kept the camera for the army .,the father kept the army the camera .,an aunt brought a candy to a singer .,an aunt brought a singer a candy .
the sheriff purchased the candy for the son .,the sheriff purchased the son the candy .,a friend took an engine to a hero .,a friend took a hero an engine .
the chief caught the log for the bishop .,the chief caught the bishop the log .,a son sent a juice to a business .,a son sent a business a juice .
the attorney promised the pie to the sheriff .,the attorney promised the sheriff the pie .,a candidate saved an engine for a singer .,a candidate saved a singer an engine .
